ano,total_documentos
1951,103
1952,70
1953,119
1954,167
1955,167
1956,108
1957,160
1958,266
1959,198
1960,171
1961,194
1962,455
1963,205
1964,209
1965,169
1966,267
1967,100
1968,112
1969,98
1970,214
1971,61
1972,69
1973,72
1974,177
1975,81
1976,87
1977,85
1978,206
1979,94
1980,115
1981,78
1982,103
1983,91
1984,128
1985,100
1986,191
1987,146
1988,138
1989,104
1990,399
1991,89
1992,135
1993,137
1994,399
1995,149
1996,180
1997,188
1998,313
1999,243
2000,184
2001,165
2002,371
2003,234
2004,173
2005,164
2006,379
2007,248
2008,190
2009,171
2010,439
2011,152
2012,228
2013,216
2014,428
2015,170
2016,187
2017,162
2018,405
2019,192
2020,0
2021,307
2022,405
2023,137
2024,187
2025,182
2026,160
